"","season","mnth","weekday","workingday","weathersit","temp","atemp","hum","windspeed","cnt"
"13",1,1,4,1,1,0.165,0.150883,0.470417,0.301,1406
"14",1,1,5,1,1,0.16087,0.188413,0.537826,0.126548,1421
"17",1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,1000
"22",1,1,6,0,1,0.0591304,0.0790696,0.4,0.17197,981
"26",1,1,3,1,3,0.2175,0.2036,0.8625,0.29385,506
"28",1,1,5,1,2,0.203478,0.223317,0.793043,0.1233,1167
"35",1,2,5,1,2,0.211304,0.228587,0.585217,0.127839,1708
"37",1,2,0,0,1,0.285833,0.291671,0.568333,0.1418,1623
"44",1,2,0,0,1,0.316522,0.324113,0.457391,0.260883,1589
"46",1,2,2,1,1,0.266087,0.254274,0.314348,0.291374,1815
"48",1,2,4,1,1,0.435833,0.428658,0.505,0.230104,2475
"49",1,2,5,1,1,0.521667,0.511983,0.516667,0.264925,2927
"50",1,2,6,0,1,0.399167,0.391404,0.187917,0.507463,1635
"51",1,2,0,0,1,0.285217,0.27733,0.407826,0.223235,1812
"57",1,2,6,0,1,0.2825,0.282192,0.537917,0.186571,1969
"59",1,2,1,1,2,0.407273,0.400118,0.876364,0.289686,1446
"64",1,3,6,0,2,0.384167,0.378779,0.789167,0.251871,2077
"66",1,3,1,1,1,0.261739,0.238461,0.551304,0.341352,1872
"67",1,3,2,1,1,0.2925,0.3024,0.420833,0.12065,2133
"69",1,3,4,1,3,0.389091,0.385668,0,0.261877,623
"72",1,3,0,0,1,0.384348,0.380091,0.527391,0.270604,2417
"73",1,3,1,1,1,0.325217,0.332,0.496957,0.136926,2046
"75",1,3,3,1,2,0.365217,0.36693,0.776522,0.203117,2192
"76",1,3,4,1,1,0.415,0.410333,0.602917,0.209579,2744
"81",2,3,2,1,1,0.441667,0.440642,0.624583,0.22575,2703
"83",2,3,4,1,2,0.285,0.270833,0.805833,0.243787,1865
"85",2,3,6,0,1,0.265833,0.257571,0.394167,0.209571,2496
"86",2,3,0,0,2,0.253043,0.250339,0.493913,0.1843,1693
"89",2,3,3,1,2,0.3,0.29735,0.646667,0.172888,1536
"94",2,4,1,1,1,0.573333,0.542929,0.42625,0.385571,3115
"97",2,4,4,1,1,0.4375,0.433696,0.602917,0.162312,3141
"102",2,4,2,1,2,0.5025,0.493054,0.739167,0.274879,2034
"104",2,4,4,1,1,0.4675,0.462742,0.540417,0.1107,3267
"105",2,4,5,0,1,0.446667,0.441913,0.67125,0.226375,3126
"106",2,4,6,0,3,0.430833,0.425492,0.888333,0.340808,795
"107",2,4,0,0,1,0.456667,0.445696,0.479583,0.303496,3744
"113",2,4,6,0,2,0.46,0.450121,0.887917,0.230725,4036
"117",2,4,3,1,2,0.62,0.575142,0.835417,0.3122,3872
"123",2,5,2,1,2,0.616667,0.582079,0.697083,0.342667,4451
"129",2,5,1,1,1,0.5325,0.525246,0.58875,0.176,4362
"130",2,5,2,1,1,0.5325,0.522721,0.489167,0.115671,4803
"136",2,5,1,1,1,0.5775,0.550512,0.787917,0.126871,3958
"137",2,5,2,1,2,0.561667,0.538529,0.837917,0.277354,4123
"151",2,5,2,1,1,0.775,0.725383,0.636667,0.111329,3982
"152",2,6,3,1,2,0.764167,0.720967,0.677083,0.207092,3974
"153",2,6,4,1,1,0.715,0.643942,0.305,0.292287,4968
"154",2,6,5,1,1,0.62,0.587133,0.354167,0.253121,5312
"156",2,6,0,0,2,0.648333,0.616804,0.6525,0.138692,4906
"159",2,6,3,1,1,0.775833,0.727279,0.622083,0.136817,4401
"160",2,6,4,1,2,0.808333,0.757579,0.568333,0.149883,3915
"161",2,6,5,1,1,0.755,0.703292,0.605,0.140554,4586
"163",2,6,0,0,1,0.6925,0.643325,0.747917,0.163567,4460
"164",2,6,1,1,1,0.635,0.601654,0.494583,0.30535,5020
"172",3,6,2,1,2,0.680833,0.637646,0.770417,0.171025,4835
"178",3,6,1,1,2,0.6825,0.637004,0.658333,0.107588,4708
"179",3,6,2,1,1,0.744167,0.692558,0.634167,0.144283,4648
"183",3,7,6,0,1,0.738333,0.667308,0.444583,0.115062,5119
"185",3,7,1,0,2,0.726667,0.665417,0.637917,0.0814792,6043
"186",3,7,2,1,1,0.746667,0.696338,0.590417,0.126258,4665
"193",3,7,2,1,1,0.794167,0.739275,0.559167,0.200254,4258
"194",3,7,3,1,1,0.746667,0.689404,0.631667,0.146133,4342
"196",3,7,5,1,1,0.663333,0.624371,0.59125,0.182833,5538
"198",3,7,0,0,1,0.719167,0.669833,0.604167,0.245033,5302
"200",3,7,2,1,1,0.776667,0.747479,0.650417,0.1306,4541
"201",3,7,3,1,1,0.768333,0.74685,0.707083,0.113817,4332
"203",3,7,5,1,1,0.848333,0.840896,0.580417,0.1331,3387
"206",3,7,1,1,1,0.743333,0.720958,0.757083,0.0908083,3840
"208",3,7,3,1,1,0.775,0.690667,0.402917,0.183463,4656
"211",3,7,6,0,1,0.804167,0.728537,0.465833,0.168537,4475
"220",3,8,1,1,1,0.765,0.703283,0.592083,0.192175,4326
"223",3,8,4,1,1,0.7175,0.651521,0.42375,0.164796,4792
"225",3,8,6,0,2,0.685833,0.645858,0.729583,0.211454,4150
"227",3,8,1,1,1,0.665833,0.616167,0.712083,0.208954,4338
