season,yr,holiday,workingday,temp,atemp,hum,windspeed,mnth_1,mnth_2,mnth_3,mnth_4,mnth_5,mnth_6,mnth_7,mnth_8,mnth_9,mnth_10,mnth_11,mnth_12,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,weathersit_1,weathersit_2,weathersit_3
4,1,0,1,0.475833,0.46905399999999997,0.73375,0.174129,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
1,0,0,1,0.18695699999999998,0.177878,0.43782600000000005,0.277752,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
4,0,0,1,0.330833,0.318812,0.585833,0.229479,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2,1,0,0,0.425833,0.41728699999999996,0.67625,0.172267,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4,1,0,1,0.55,0.544179,0.57,0.236321,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
3,1,0,1,0.716667,0.650271,0.633333,0.15173299999999998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0.134783,0.144283,0.494783,0.188839,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0,1,0.37333299999999997,0.377513,0.68625,0.274246,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
3,1,0,1,0.731667,0.667933,0.485833,0.08085,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2,1,0,1,0.7225,0.672992,0.6845829999999999,0.2954,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,1,0,0,0.255833,0.2317,0.483333,0.350754,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1,0,0,1,0.423333,0.426121,0.7575,0.047275,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
2,0,0,1,0.604167,0.591546,0.507083,0.269283,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
4,1,0,1,0.296667,0.28976199999999996,0.50625,0.210821,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,0,0,1,0.2925,0.3024,0.420833,0.12065,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0.3325,0.32575,0.47375,0.20772100000000002,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,0,0,1,0.32521700000000003,0.332,0.496957,0.136926,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4,1,0,1,0.615,0.580187,0.6275,0.10635,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
3,0,0,1,0.7225,0.652162,0.39625,0.10260799999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,1,1,0,0.19,0.190663,0.5225,0.23135799999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
3,1,0,1,0.685,0.635733,0.552083,0.112562,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3,1,0,1,0.834167,0.786613,0.48875,0.165417,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
2,1,0,1,0.3975,0.387604,0.46625,0.290429,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,0,0,1,0.261739,0.238461,0.551304,0.341352,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,0,0,1,0.295652,0.289191,0.697391,0.250496,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3,0,0,1,0.673333,0.630692,0.605,0.253108,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2,0,0,1,0.346957,0.337939,0.839565,0.23426100000000002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4,1,0,1,0.514167,0.502513,0.492917,0.142404,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,0,1,0.265,0.261988,0.562083,0.194037,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
4,1,0,1,0.410833,0.409708,0.66625,0.221404,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
4,0,0,0,0.220833,0.253154,0.49,0.0665417,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
4,0,0,1,0.550833,0.529675,0.71625,0.223883,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2,1,0,1,0.476667,0.470317,0.427917,0.11879200000000001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2,1,0,1,0.6025,0.569442,0.567083,0.15735,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2,1,0,1,0.446667,0.436233,0.435,0.249375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2,1,0,0,0.5025,0.48673299999999997,0.885417,0.19278299999999998,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
3,1,0,1,0.7025,0.6471,0.615,0.07214580000000001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3,1,0,0,0.661667,0.618696,0.712917,0.244408,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4,0,0,1,0.440833,0.430537,0.757917,0.335825,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,0,0,1,0.16909100000000002,0.19146400000000002,0.6863640000000001,0.12213199999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2,0,0,1,0.595,0.564392,0.614167,0.241925,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,1,0,1,0.258333,0.255042,0.456667,0.200875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3,1,0,1,0.7175,0.667308,0.6775,0.141179,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2,0,0,0,0.648333,0.616804,0.6525,0.138692,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3,1,0,1,0.741667,0.690017,0.694167,0.138683,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4,0,0,1,0.41,0.400246,0.970417,0.266175,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
3,0,0,1,0.746667,0.703925,0.65125,0.215804,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1,1,0,1,0.466667,0.459592,0.489167,0.207713,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2,1,1,0,0.7125,0.6793,0.67625,0.196521,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2,1,0,0,0.4375,0.437488,0.880833,0.220775,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
